n,deslocamento,x,y
912,5038,50,38
913,5042,50,42
914,5046,50,46
915,5050,50,50
916,5054,50,54
917,5058,50,58
918,5062,50,62
919,5066,50,66
920,5070,50,70
921,5074,50,74
922,5078,50,78
923,5082,50,82
924,5086,50,86
925,5090,50,90
926,5094,50,94
927,5098,50,98
928,5102,51,2
929,5106,51,6
930,5110,51,10
931,5114,51,14
932,5118,51,18
933,5122,51,22
934,5126,51,26
935,5130,51,30
936,5134,51,34
937,5138,51,38
938,5142,51,42
939,5146,51,46
940,5150,51,50
941,5154,51,54
942,5158,51,58
943,5162,51,62
944,5166,51,66
945,5170,51,70
946,5174,51,74
947,5178,51,78
948,5182,51,82
949,5186,51,86
950,5190,51,90
951,5194,51,94
952,5198,51,98
953,5202,52,2
954,5206,52,6
955,5210,52,10
956,5214,52,14
957,5218,52,18
958,5222,52,22
959,5226,52,26
960,5230,52,30
961,5234,52,34
962,5238,52,38
963,5242,52,42
964,5246,52,46
965,5250,52,50
966,5254,52,54
967,5258,52,58
968,5262,52,62
969,5266,52,66
970,5270,52,70
971,5274,52,74
972,5278,52,78
973,5282,52,82
974,5286,52,86
975,5290,52,90
976,5294,52,94
977,5298,52,98
978,5302,53,2
979,5306,53,6
980,5310,53,10
981,5314,53,14
982,5318,53,18
983,5322,53,22
984,5326,53,26
985,5330,53,30
986,5334,53,34
987,5338,53,38
988,5342,53,42
989,5346,53,46
990,5350,53,50
991,5354,53,54
992,5358,53,58
993,5362,53,62
994,5366,53,66
995,5370,53,70
996,5374,53,74
997,5378,53,78
998,5382,53,82
999,5386,53,86
1000,5390,53,90
1001,5394,53,94
1002,5398,53,98
1003,5402,54,2
1004,5406,54,6
1005,5410,54,10
1006,5414,54,14
1007,5418,54,18
1008,5422,54,22
1009,5426,54,26
1010,5430,54,30
1011,5434,54,34
1012,5438,54,38
1013,5442,54,42
1014,5446,54,46
1015,5450,54,50
1016,5454,54,54
1017,5458,54,58
1018,5462,54,62
1019,5466,54,66
1020,5470,54,70
1021,5474,54,74
1022,5478,54,78
1023,5482,54,82
1024,5486,54,86
1025,2928,29,28
1026,2932,29,32
1027,2936,29,36
1028,2940,29,40
1029,2944,29,44
1030,2948,29,48
1031,2952,29,52
1032,2956,29,56
1033,2960,29,60
1034,2964,29,64
1035,2968,29,68
1036,2972,29,72
1037,2976,29,76
1038,2980,29,80
1039,2984,29,84
1040,2988,29,88
1041,2992,29,92
1042,2996,29,96
1043,3000,30,0
1044,3004,30,4
1045,3008,30,8
1046,3012,30,12
1047,3016,30,16
1048,3020,30,20
1049,3024,30,24
1050,3028,30,28
1051,3032,30,32
1052,3036,30,36
1053,3040,30,40
1054,3044,30,44
1055,3048,30,48
1056,3052,30,52
1057,3056,30,56
1058,3060,30,60
1059,3064,30,64
1060,3068,30,68
1061,3072,30,72
1062,3076,30,76
1063,3080,30,80
1064,3084,30,84
1065,3088,30,88
1066,3092,30,92
1067,3096,30,96
1068,3100,31,0
1069,3104,31,4
1070,3108,31,8
1071,3112,31,12
1072,3116,31,16
1073,3120,31,20
1074,3124,31,24
1075,3128,31,28
1076,3132,31,32
1077,3136,31,36
1078,3140,31,40
1079,3144,31,44
1080,3148,31,48
1081,3152,31,52
1082,3156,31,56
1083,3160,31,60
1084,3164,31,64
1085,3168,31,68
1086,3172,31,72
1087,3176,31,76
1088,3180,31,80
1089,3184,31,84
1090,3188,31,88
1091,3192,31,92
1092,3196,31,96
1093,3200,32,0
1094,3204,32,4
1095,3208,32,8
1096,3212,32,12
1097,3216,32,16
1098,3220,32,20
1099,3224,32,24
1100,3228,32,28
1101,3232,32,32
1102,3236,32,36
1103,3240,32,40
1104,3244,32,44
1105,3248,32,48
1106,3252,32,52
1107,3256,32,56
1108,3260,32,60
1109,3264,32,64
1110,3268,32,68
1111,3272,32,72
1112,3276,32,76
1113,3280,32,80
1114,3284,32,84
1115,3288,32,88
1116,3292,32,92
1117,3296,32,96
1118,3300,33,0
1119,3304,33,4
1120,3308,33,8
1121,3312,33,12
1122,3316,33,16
1123,3320,33,20
1124,3324,33,24
1125,3328,33,28
1126,3332,33,32
1127,3336,33,36
1128,3340,33,40
1129,3344,33,44
1130,3348,33,48
1131,3352,33,52
1132,3356,33,56
1133,3360,33,60
1134,3364,33,64
1135,3368,33,68
1136,3372,33,72
1137,3376,33,76
1138,3380,33,80
1139,3384,33,84
1140,3388,33,88
1141,3392,33,92
1142,3396,33,96
1143,3400,34,0
1144,3404,34,4
1145,3408,34,8
1146,3412,34,12
1147,3416,34,16
1148,3420,34,20
1149,3424,34,24
1150,3428,34,28
1151,3432,34,32
1152,3436,34,36
1153,3440,34,40
1154,3444,34,44
1155,3448,34,48
1156,3452,34,52
1157,3456,34,56
1158,3460,34,60
1159,3464,34,64
1160,3468,34,68
1161,3472,34,72
1162,3476,34,76
1163,3480,34,80
1164,3484,34,84
1165,3488,34,88
1166,3492,34,92
1167,3496,34,96
1168,3500,35,0
1169,3504,35,4
1170,3508,35,8
1171,3512,35,12
1172,3516,35,16
1173,3520,35,20
1174,3524,35,24
1175,3528,35,28
1176,3532,35,32
1177,3536,35,36
1178,3540,35,40
1179,3544,35,44
1180,3548,35,48
1181,3552,35,52
1182,3556,35,56
1183,3560,35,60
1184,3564,35,64
1185,3568,35,68
1186,3572,35,72
1187,3576,35,76
1188,3580,35,80
1189,3584,35,84
1190,3588,35,88
1191,3592,35,92
1192,3596,35,96
1193,3600,36,0
1194,3604,36,4
1195,3608,36,8
1196,3612,36,12
1197,3616,36,16
1198,3620,36,20
1199,3624,36,24
1200,3628,36,28
1201,3632,36,32
1202,3636,36,36
1203,3640,36,40
1204,3644,36,44
1205,3648,36,48
1206,3652,36,52
1207,3656,36,56
1208,3660,36,60
1209,3664,36,64
1210,3668,36,68
1211,3672,36,72
1212,3676,36,76
1213,3680,36,80
1214,3684,36,84
1215,3688,36,88
1216,3692,36,92
1217,3696,36,96
1218,3700,37,0
1219,3704,37,4
1220,3708,37,8
1221,3712,37,12
1222,3716,37,16
1223,3720,37,20
1224,3724,37,24
1225,3728,37,28
1226,3732,37,32
1227,3736,37,36
1228,3740,37,40
1229,3744,37,44
1230,3748,37,48
1231,3752,37,52
1232,3756,37,56
1233,3760,37,60
1234,3764,37,64
1235,3768,37,68
1236,3772,37,72
1237,3776,37,76
1238,3780,37,80
1239,3784,37,84
1240,3788,37,88
1241,3792,37,92
1242,3796,37,96
1243,3800,38,0
1244,3804,38,4
1245,3808,38,8
1246,3812,38,12
1247,3816,38,16
1248,3820,38,20
1249,3824,38,24
1250,3828,38,28
1251,3832,38,32
1252,3836,38,36
1253,3840,38,40
1254,3844,38,44
1255,3848,38,48
1256,3852,38,52
1257,3856,38,56
1258,3860,38,60
1259,3864,38,64
