n,offset,x,y
849,6884,68,84
850,6972,69,72
851,6916,69,16
852,6968,69,68
853,6788,67,88
854,6960,69,60
855,6796,67,96
856,6792,67,92
857,6932,69,32
858,6836,68,36
859,6976,69,76
860,6924,69,24
861,6896,68,96
862,6956,69,56
863,6764,67,64
864,6948,69,48
865,6780,67,80
866,6904,69,4
867,6800,68,0
868,6908,69,8
869,6784,67,84
870,6928,69,28
871,6832,68,32
872,6752,67,52
873,6880,68,80
874,6760,67,60
875,6964,69,64
876,6852,68,52
877,6840,68,40
878,6776,67,76
879,6736,67,36
880,6844,68,44
881,6936,69,36
882,6740,67,40
883,6940,69,40
884,6744,67,44
885,6804,68,4
886,6952,69,52
887,6944,69,44
888,6912,69,12
889,6808,68,8
890,6856,68,56
891,6888,68,88
892,6812,68,12
893,6772,67,72
894,6748,67,48
895,6768,67,68
896,6816,68,16
897,6820,68,20
898,6824,68,24
899,6892,68,92
900,6868,68,68
901,6828,68,28
902,6860,68,60
903,6872,68,72
904,6864,68,64
905,6876,68,76
906,6900,69,0
907,126274,1262,74
908,126330,1263,30
909,126254,1262,54
910,126278,1262,78
911,126258,1262,58
912,126390,1263,90
913,126266,1262,66
914,126346,1263,46
915,126242,1262,42
916,126418,1264,18
917,126350,1263,50
918,126222,1262,22
919,126422,1264,22
920,126174,1261,74
921,126178,1261,78
922,126294,1262,94
923,126182,1261,82
924,126282,1262,82
925,126314,1263,14
926,126170,1261,70
927,126382,1263,82
928,126414,1264,14
929,126186,1261,86
930,126286,1262,86
931,126354,1263,54
932,126342,1263,42
933,126402,1264,2
934,126334,1263,34
935,126358,1263,58
936,126190,1261,90
937,126206,1262,6
938,126270,1262,70
939,126338,1263,38
940,126306,1263,6
941,126214,1262,14
942,126406,1264,6
943,126262,1262,62
944,126290,1262,90
945,126378,1263,78
946,126210,1262,10
947,126194,1261,94
948,126230,1262,30
949,126198,1261,98
950,126318,1263,18
951,126226,1262,26
952,126362,1263,62
953,126298,1262,98
954,126410,1264,10
955,126302,1263,2
956,126250,1262,50
957,126310,1263,10
958,126234,1262,34
959,126322,1263,22
960,126366,1263,66
961,126326,1263,26
962,126370,1263,70
963,126374,1263,74
964,126386,1263,86
965,126394,1263,94
966,126218,1262,18
967,126398,1263,98
968,126202,1262,2
969,126238,1262,38
970,126246,1262,46
971,126630,1266,30
972,126634,1266,34
973,126450,1264,50
974,126462,1264,62
975,126502,1265,2
976,126514,1265,14
977,126506,1265,6
978,126638,1266,38
979,126642,1266,42
980,126438,1264,38
981,126522,1265,22
982,126566,1265,66
983,126578,1265,78
984,126478,1264,78
985,126658,1266,58
986,126530,1265,30
987,126486,1264,86
988,126626,1266,26
989,126646,1266,46
990,126482,1264,82
991,126666,1266,66
992,126622,1266,22
993,126602,1266,2
994,126650,1266,50
995,126434,1264,34
996,126654,1266,54
997,126470,1264,70
998,126594,1265,94
999,126538,1265,38
1000,126574,1265,74
1001,126426,1264,26
1002,126610,1266,10
1003,126662,1266,62
1004,126430,1264,30
1005,126458,1264,58
1006,126582,1265,82
1007,126442,1264,42
1008,126446,1264,46
1009,126526,1265,26
1010,126454,1264,54
1011,126466,1264,66
1012,126498,1264,98
1013,126542,1265,42
1014,126534,1265,34
1015,126586,1265,86
1016,126614,1266,14
1017,126510,1265,10
1018,126474,1264,74
1019,126518,1265,18
1020,126490,1264,90
1021,126546,1265,46
1022,126494,1264,94
1023,126550,1265,50
1024,126554,1265,54
1025,126558,1265,58
1026,126570,1265,70
1027,126590,1265,90
1028,126598,1265,98
1029,126562,1265,62
1030,126618,1266,18
1031,126606,1266,6
1032,4986,49,86
1033,5090,50,90
1034,5030,50,30
1035,5046,50,46
1036,5114,51,14
1037,5134,51,34
1038,5098,50,98
1039,5190,51,90
1040,5138,51,38
1041,5186,51,86
1042,4998,49,98
1043,5178,51,78
1044,5006,50,6
1045,5002,50,2
1046,5146,51,46
1047,5050,50,50
1048,5194,51,94
1049,5142,51,42
1050,5110,51,10
1051,5174,51,74
1052,4974,49,74
1053,5166,51,66
1054,4990,49,90
1055,5118,51,18
1056,5010,50,10
1057,5126,51,26
1058,4994,49,94
1059,5150,51,50
1060,5042,50,42
1061,4962,49,62
1062,5094,50,94
1063,4958,49,58
1064,5182,51,82
1065,5058,50,58
1066,5054,50,54
1067,5014,50,14
1068,4942,49,42
1069,5038,50,38
1070,5130,51,30
1071,4946,49,46
1072,5154,51,54
1073,4950,49,50
1074,5018,50,18
1075,5158,51,58
1076,5122,51,22
1077,5162,51,62
1078,5022,50,22
1079,5062,50,62
1080,5086,50,86
1081,5026,50,26
1082,4970,49,70
1083,4954,49,54
1084,4966,49,66
1085,4978,49,78
1086,5102,51,2
1087,5106,51,6
1088,5034,50,34
1089,5066,50,66
1090,5070,50,70
1091,4982,49,82
1092,5074,50,74
1093,5078,50,78
1094,5170,51,70
1095,5082,50,82
1096,5266,52,66
1097,5302,53,2
1098,5358,53,58
1099,5282,52,82
1100,5306,53,6
1101,5286,52,86
1102,5418,54,18
1103,5294,52,94
1104,5374,53,74
1105,5270,52,70
1106,5338,53,38
1107,5394,53,94
1108,5238,52,38
1109,5290,52,90
1110,5366,53,66
1111,5274,52,74
1112,5398,53,98
1113,5314,53,14
1114,5402,54,2
1115,5406,54,6
1116,5430,54,30
1117,5210,52,10
1118,5298,52,98
1119,5370,53,70
1120,5318,53,18
1121,5450,54,50
1122,5438,54,38
1123,5362,53,62
1124,5246,52,46
1125,5230,52,30
1126,5206,52,6
1127,5378,53,78
1128,5198,51,98
1129,5234,52,34
1130,5250,52,50
1131,5262,52,62
1132,5278,52,78
1133,5242,52,42
1134,5422,54,22
1135,5326,53,26
1136,5310,53,10
1137,5330,53,30
1138,5254,52,54
1139,5322,53,22
1140,5334,53,34
1141,5382,53,82
1142,5410,54,10
1143,5342,53,42
1144,5258,52,58
1145,5346,53,46
1146,5386,53,86
1147,5202,52,2
1148,5350,53,50
1149,5354,53,54
1150,5426,54,26
1151,5390,53,90
1152,5414,54,14
1153,5434,54,34
1154,5226,52,26
1155,5442,54,42
1156,5446,54,46
